Ticker,Composite_Score,Prior_pi,View_Q,Confidence,mu_BL
IWDA.L,-0.130269,0.034962,-0.001513,0.3425,0.010692
VGK,-0.346965,0.061099,-0.036051,0.4131,-0.040055
EWJ,-0.279651,0.044904,-0.033398,0.3912,0.010523
IUSN.DE,0.003962,0.02483,0.02594,0.3013,0.025479
IEMA.L,-0.322901,0.054148,-0.036264,0.4053,0.011697
MCHI,-0.742673,0.127774,-0.080174,0.5421,-0.071708
EWZ,-0.023275,0.034858,0.028341,0.3076,0.082027
INDA,-0.170199,0.048189,0.000533,0.3555,-0.019247
EWT,0.338105,0.041727,0.136396,0.4102,0.035288
EWY,-0.49251,0.062349,-0.075554,0.4605,-0.011499
XLY,-0.15715,0.073486,0.029484,0.3512,-0.027328
XLC,-0.814844,0.057041,-0.171116,0.5656,-0.02589
XLF,0.139664,0.04636,0.085465,0.3455,0.048352
KBE,0.571816,0.049176,0.209285,0.4864,0.072734
XLE,1.840591,0.007715,0.52308,0.9,0.307441
XOP,1.30616,0.027595,0.39332,0.7258,0.301512
XLI,0.05812,0.0347,0.050973,0.3189,0.051927
IYT,0.14491,0.054082,0.094656,0.3472,0.038176
XLB,-0.075884,0.042548,0.021301,0.3247,0.057849
ITB,0.048446,0.080045,0.093609,0.3158,0.043601
XLV,0.027703,0.027836,0.035593,0.309,-0.001258
XBI,-1.419218,0.091396,-0.305985,0.7626,-0.093165
XLP,0.431078,0.015465,0.136167,0.4405,0.039233
XLU,0.004015,0.006881,0.008005,0.3013,0.026554
XLK,-0.059891,0.069976,0.053207,0.3195,-0.046992
SOXX,-0.045119,0.098385,0.085752,0.3147,-0.046793
IGV,-0.862319,0.082944,-0.158505,0.5811,-0.097917
CIBR,0.097413,0.056767,0.084043,0.3318,-0.045895
BOTZ,-1.032292,0.095794,-0.193248,0.6365,-0.036719
VNQ,-0.096189,0.037042,0.010109,0.3314,0.022402
LIT,-0.501945,0.08143,-0.059115,0.4636,0.006109
GLD,0.497152,-0.005669,0.133534,0.4621,0.090938
SLV,0.42629,0.001823,0.121185,0.439,0.105822
DBA,0.663157,-0.00831,0.177374,0.5162,0.088115
COPX,0.823065,0.044891,0.275349,0.5683,0.165621
TLT,0.000884,0.001025,0.001273,0.3003,0.005978
IEF,0.212832,-2.2e-05,0.059571,0.3694,0.018155
TIP,0.338607,-0.002102,0.092708,0.4104,0.043215
HYG,0.184576,0.02212,0.073801,0.3602,0.004968
LQD,0.006594,0.011966,0.013812,0.3021,0.006415
EMB,-0.257855,0.020015,-0.052184,0.3841,-0.027905
BITO,-1.481358,0.098576,-0.316204,0.7829,-0.142647
